movie|"""Directed"""|link|"""Screenplay"""|"""Starring"""|"""Produced"""|'Cinematography'|'Edited'|'Distributed'|'Language'|'Music'|'Country'|'Box office'|'Budget'|'Production company'|'Running time'
CODA|Sian Heder|https://en.wikipedia.org/wiki/CODA_(2021_film)|||||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)|Sian Heder||||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)||Emilia Jones|||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)||Eugenio Derbez|||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)||Troy Kotsur|||||||||||
Summer of Soul|"Ahmir ""Questlove"" Thompson"|https://en.wikipedia.org/wiki/Summer_of_Soul|||||||||||||
Dune|Denis Villeneuve|https://en.wikipedia.org/wiki/Dune_(2021_film)|||||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)||Ferdia Walsh-Peelo|||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)||Daniel Durant|||||||||||
Summer of Soul||https://en.wikipedia.org/wiki/Summer_of_Soul|||David Dinerstein||||||||||
Dune||https://en.wikipedia.org/wiki/Dune_(2021_film)|Jon Spaihts||||||||||||
The Eyes of Tammy Faye|Michael Showalter|https://en.wikipedia.org/wiki/The_Eyes_of_Tammy_Faye_(2021_film)|||||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)||Marlee Matlin|||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)|||Fabrice Gianfermi||||||||||
Summer of Soul||https://en.wikipedia.org/wiki/Summer_of_Soul|||Robert Fyvolent||||||||||
Summer of Soul||https://en.wikipedia.org/wiki/Summer_of_Soul|||Joseph Patel||||||||||
The Windshield Wiper|Alberto Mielgo|https://en.wikipedia.org/wiki/The_Windshield_Wiper|||||||||||||
Drive My Car|Ryusuke Hamaguchi|https://en.wikipedia.org/wiki/Drive_My_Car_(film)|||||||||||||
No Time to Die|Cary Joji Fukunaga|https://en.wikipedia.org/wiki/No_Time_to_Die|||||||||||||
